epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2786,0.78862,2.28197,1.49724,0.84558,0.59782,0.72969,0.4954,0.78961,2.04237,1.44914,0.000545377,0.000545377,0.000545377
2,38.1136,0.56303,1.42461,1.36938,0.70122,0.64444,0.67638,0.45941,0.83294,1.43477,1.59726,0.00099204,0.00099204,0.00099204
3,53.6426,0.54566,1.12183,1.35209,0.75104,0.83058,0.82122,0.52418,1.00487,1.3019,1.73232,0.00132868,0.00132868,0.00132868
4,69.1324,0.52035,0.99548,1.33643,0.86243,0.81865,0.83316,0.61379,0.73357,1.35046,1.32305,0.0011719,0.0011719,0.0011719
5,84.6976,0.48161,0.81912,1.29484,0.89555,0.8338,0.85682,0.58838,0.76164,1.06456,1.2689,0.00100687,0.00100687,0.00100687
6,100.316,0.44989,0.74147,1.24925,0.89307,0.88161,0.89279,0.64183,0.6554,0.69372,1.1263,0.000841835,0.000841835,0.000841835
7,116.774,0.44829,0.66529,1.23857,0.88332,0.88857,0.8831,0.63483,0.69082,0.68369,1.1496,0.000676802,0.000676802,0.000676802
8,132.359,0.41223,0.61018,1.20321,0.8964,0.9123,0.91088,0.62556,0.72042,0.69073,1.16652,0.000511769,0.000511769,0.000511769
9,147.604,0.39624,0.5753,1.19417,0.88636,0.90054,0.89024,0.69478,0.6128,0.67689,1.07555,0.000346736,0.000346736,0.000346736
10,163.229,0.35353,0.52902,1.14051,0.89568,0.91675,0.89187,0.67545,0.61542,0.58911,1.06664,0.000181703,0.000181703,0.000181703
